Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_0.qasm,180,112,68(37.78%),,45,26,19(42.22%),,90(x),40(x),50(55.56%),,90(cx),72(cx),18(20.00%),,1.9062628746032715,29.89453125
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_1.qasm,180,122,58(32.22%),,45,37,8(17.78%),,90(x),42(x),48(53.33%),,90(cx),80(cx),10(11.11%),,1.906217098236084,30.1015625
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_2.qasm,180,89,91(50.56%),,45,20,25(55.56%),,90(x),28(x),62(68.89%),,90(cx),61(cx),29(32.22%),,2.8124802112579346,30.11328125
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_3.qasm,180,105,75(41.67%),,45,19,26(57.78%),,90(x),40(x),50(55.56%),,90(cx),65(cx),25(27.78%),,1.7500097751617432,30.2109375
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_4.qasm,180,130,50(27.78%),,45,26,19(42.22%),,90(x),52(x),38(42.22%),,90(cx),78(cx),12(13.33%),,2.5312631130218506,30.5859375
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_5.qasm,180,106,74(41.11%),,45,26,19(42.22%),,90(x),36(x),54(60.00%),,90(cx),70(cx),20(22.22%),,1.9219074249267578,30.40625
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_6.qasm,180,96,84(46.67%),,45,19,26(57.78%),,90(x),36(x),54(60.00%),,90(cx),60(cx),30(33.33%),,2.2663662433624268,30.27734375
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_7.qasm,180,107,73(40.56%),,45,28,17(37.78%),,90(x),42(x),48(53.33%),,90(cx),65(cx),25(27.78%),,1.655449390411377,30.37890625
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_8.qasm,180,105,75(41.67%),,45,21,24(53.33%),,90(x),36(x),54(60.00%),,90(cx),69(cx),21(23.33%),,2.3125498294830322,30.46875
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_9.qasm,180,102,78(43.33%),,45,26,19(42.22%),,90(x),30(x),60(66.67%),,90(cx),72(cx),18(20.00%),,2.0156407356262207,30.2578125
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_0.qasm,225,146,79(35.11%),,45,33,12(26.67%),,90(x),46(x),44(48.89%),,135(cx),100(cx),35(25.93%),,3.312483549118042,30.71875
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_1.qasm,225,147,78(34.67%),,45,27,18(40.00%),,90(x),44(x),46(51.11%),,135(cx),103(cx),32(23.70%),,4.2189788818359375,30.671875
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_2.qasm,225,144,81(36.00%),,45,28,17(37.78%),,90(x),46(x),44(48.89%),,135(cx),98(cx),37(27.41%),,3.0935797691345215,30.88671875
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_3.qasm,225,149,76(33.78%),,45,28,17(37.78%),,90(x),50(x),40(44.44%),,135(cx),99(cx),36(26.67%),,3.10933518409729,30.3046875
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_4.qasm,225,160,65(28.89%),,45,29,16(35.56%),,90(x),48(x),42(46.67%),,135(cx),112(cx),23(17.04%),,3.4999608993530273,30.37890625
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_5.qasm,225,151,74(32.89%),,45,30,15(33.33%),,90(x),46(x),44(48.89%),,135(cx),105(cx),30(22.22%),,3.1874446868896484,30.46484375
